dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0012,nzd0490-0013,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0022,nzd0490-0023,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0034,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039,satname
1999-08-26 22:07:32+00:00,338.04,322.10,279.23,274.38,291.78,298.69,307.88,325.47,330.98,333.56,335.26,326.18,338.37,339.37,331.13,332.34,324.70,327.85,334.14,336.36,345.98,349.54,346.94,359.12,359.54,355.27,355.46,347.75,345.15,343.98,337.62,334.14,335.80,333.82,328.53,334.07,331.51,323.28,328.63,323.25,L7
1999-11-30 22:07:23+00:00,342.00,322.49,293.58,278.77,284.18,295.69,305.80,324.73,331.97,333.53,334.54,328.52,332.31,331.06,331.12,326.92,324.75,330.82,334.42,338.26,345.62,346.05,344.64,347.55,347.93,347.34,351.03,349.36,345.63,344.25,339.22,333.88,331.60,330.04,328.64,329.03,328.27,319.00,320.68,317.44,L7
1999-12-16 22:07:33+00:00,345.31,325.59,299.99,283.62,287.46,302.76,311.23,329.56,335.37,337.83,336.36,331.64,331.77,332.22,332.89,328.42,328.15,334.73,336.78,340.13,345.69,344.65,343.96,343.33,343.46,347.34,351.03,349.36,345.63,344.25,339.22,333.88,331.60,330.04,328.64,329.03,328.27,319.00,320.68,317.44,L7
2000-02-02 22:07:23+00:00,346.86,328.11,300.58,284.42,290.06,303.88,313.44,330.37,333.81,335.38,333.04,328.93,328.59,329.32,329.90,325.31,323.91,330.63,332.81,335.84,340.16,338.93,337.49,337.23,337.06,340.33,343.87,345.69,340.62,338.73,334.17,327.87,324.77,322.50,322.09,323.72,323.30,315.43,315.71,311.67,L7
2000-02-18 22:07:16+00:00,344.26,328.62,302.57,287.67,293.29,305.96,316.17,331.69,334.90,336.15,333.13,328.61,328.27,328.06,330.12,328.41,327.11,333.28,335.17,337.29,340.11,340.36,340.63,340.41,341.17,345.42,348.50,347.79,344.34,342.16,339.23,331.91,327.78,325.39,324.52,326.26,323.29,318.02,318.73,314.47,L7
2000-05-08 22:06:44+00:00,348.22,334.84,313.42,295.23,298.44,311.66,323.46,336.69,341.22,340.89,335.01,330.09,325.41,325.29,330.39,327.24,328.25,334.82,335.65,337.88,338.99,338.50,338.79,335.22,336.75,341.09,348.87,347.17,343.03,340.71,340.20,326.92,321.94,319.49,320.86,322.43,317.29,311.37,313.44,311.07,L7
2000-06-25 22:06:19+00:00,347.74,339.85,315.46,299.89,307.21,316.25,331.76,340.98,343.21,342.88,336.02,329.35,322.12,322.93,328.11,329.57,329.26,332.11,332.84,335.13,336.76,337.00,339.40,336.96,339.60,343.14,352.33,350.64,339.09,339.45,342.55,328.12,320.91,315.05,320.26,324.80,317.28,309.61,314.94,317.02,L7
2000-07-27 22:05:48+00:00,347.00,338.16,317.62,298.51,306.51,316.31,330.13,338.46,340.25,342.79,336.92,329.61,323.08,323.77,329.43,328.69,328.87,331.80,333.62,337.25,337.98,338.49,341.93,340.37,342.17,347.21,353.96,353.42,343.05,344.06,345.99,332.47,326.74,320.86,327.05,330.15,320.34,310.52,316.29,318.20,L7
2000-08-03 22:11:31+00:00,345.51,338.98,322.71,302.42,309.40,319.33,332.64,339.87,343.03,346.48,340.39,331.82,324.09,324.56,331.54,331.87,333.29,335.17,336.80,342.02,341.59,342.68,347.89,345.73,348.24,352.17,359.88,356.16,347.11,347.89,350.62,336.48,331.35,324.16,330.75,333.46,321.15,312.11,320.41,322.54,L7
2000-09-20 22:10:50+00:00,352.39,343.45,325.40,298.95,303.54,312.93,328.78,336.78,341.67,347.12,340.62,331.06,320.75,323.07,330.34,328.53,329.44,334.53,336.37,338.76,342.67,342.24,347.26,345.08,344.59,349.22,357.19,355.21,346.36,343.14,347.20,337.69,334.40,324.67,331.01,333.52,321.85,310.14,318.47,322.36,L7
