,dates,nzd0126-0000,nzd0126-0001,nzd0126-0002,nzd0126-0003,nzd0126-0004,nzd0126-0005,nzd0126-0006,nzd0126-0007,nzd0126-0008,nzd0126-0009,nzd0126-0010,nzd0126-0011,nzd0126-0012,nzd0126-0013,nzd0126-0014,nzd0126-0015,nzd0126-0016,nzd0126-0017,nzd0126-0018,nzd0126-0019,nzd0126-0020,nzd0126-0021,nzd0126-0022,nzd0126-0023,nzd0126-0024,nzd0126-0025,nzd0126-0026,nzd0126-0027,nzd0126-0028,nzd0126-0029,nzd0126-0030,nzd0126-0031,nzd0126-0032,nzd0126-0033,nzd0126-0034,nzd0126-0035,nzd0126-0036,nzd0126-0037,nzd0126-0038,nzd0126-0039,nzd0126-0040,nzd0126-0041,nzd0126-0042,nzd0126-0043,nzd0126-0044,nzd0126-0045,nzd0126-0046,nzd0126-0047,nzd0126-0048,nzd0126-0049,nzd0126-0050,nzd0126-0051,nzd0126-0052,nzd0126-0053,nzd0126-0054,nzd0126-0055,nzd0126-0056,nzd0126-0057,nzd0126-0058,nzd0126-0059,nzd0126-0060,nzd0126-0061,nzd0126-0062,nzd0126-0063,nzd0126-0064,nzd0126-0065,nzd0126-0066,nzd0126-0067,nzd0126-0068,nzd0126-0069,nzd0126-0070,nzd0126-0071,nzd0126-0072,nzd0126-0073,nzd0126-0074,nzd0126-0075,nzd0126-0076,nzd0126-0077,nzd0126-0078,nzd0126-0079,nzd0126-0080,nzd0126-0081,nzd0126-0082,nzd0126-0083,nzd0126-0084,nzd0126-0085,nzd0126-0086,nzd0126-0087,nzd0126-0088,nzd0126-0089,nzd0126-0090,nzd0126-0091,nzd0126-0092,nzd0126-0093,nzd0126-0094,nzd0126-0095,nzd0126-0096,nzd0126-0097,nzd0126-0098,nzd0126-0099,nzd0126-0100,nzd0126-0101,nzd0126-0102,nzd0126-0103,nzd0126-0104,nzd0126-0105,nzd0126-0106,nzd0126-0107,nzd0126-0108,nzd0126-0109,nzd0126-0110,nzd0126-0111,nzd0126-0112,nzd0126-0113,nzd0126-0114,nzd0126-0115,nzd0126-0116,nzd0126-0117,nzd0126-0118,nzd0126-0119,nzd0126-0120,nzd0126-0121,nzd0126-0122,nzd0126-0123,nzd0126-0124,nzd0126-0125,nzd0126-0126,nzd0126-0127,nzd0126-0128,nzd0126-0129,nzd0126-0130,nzd0126-0131,nzd0126-0132,nzd0126-0133,nzd0126-0134,nzd0126-0135,nzd0126-0136,nzd0126-0137,nzd0126-0138,nzd0126-0139,nzd0126-0140,nzd0126-0141,nzd0126-0142,nzd0126-0143,nzd0126-0144,nzd0126-0145,nzd0126-0146,nzd0126-0147,nzd0126-0148,nzd0126-0149,nzd0126-0150,nzd0126-0151,nzd0126-0152,nzd0126-0153,nzd0126-0154,nzd0126-0155,nzd0126-0156,nzd0126-0157,nzd0126-0158,nzd0126-0159,nzd0126-0160,nzd0126-0161,nzd0126-0162,nzd0126-0163,nzd0126-0164,nzd0126-0165,nzd0126-0166,nzd0126-0167,nzd0126-0168,nzd0126-0169,nzd0126-0170,nzd0126-0171,nzd0126-0172,nzd0126-0173,nzd0126-0174,nzd0126-0175,nzd0126-0176,nzd0126-0177,nzd0126-0178,nzd0126-0179
0,1999-08-26 22:04:44+00:00,,,,255.0728124568145,242.1908737215668,231.10635228410985,221.9708439383661,208.71673256894496,196.24429666492787,197.93443385826268,184.42825213133835,180.47119993473265,176.00082899822556,160.47854278926133,149.89671781055114,143.9723722501831,131.87093285823082,133.41663925565882,127.97121345553433,119.37202274256228,121.15189931843832,120.20662665184088,115.04439925400096,122.89175286674408,126.65089960299524,142.4957252487364,150.68096791344362,162.9156862530607,167.71496409652894,177.39331451712303,189.0883579960688,,207.832396432263,216.561435518537,229.12727849602345,233.5896364421712,238.6379447448548,249.04312333022648,247.9329897115948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8843088986223,236.5791771487904,219.6778644713069,235.2562075652649,191.527158528526,168.26521638425857,147.17532636166217,136.54925851541287,112.94899907289025,99.77444467655512,101.45131387023122,89.48202427161527,87.04257030916857,103.95375417704707,87.61002664757282,73.55308518614783
1,1999-09-27 22:04:48+00:00,,,,,,243.7858057507584,224.8064623434196,218.0617161979937,209.47655498094727,210.66406855873427,198.90684006343656,185.8820965411818,178.6772006881221,168.99057451762096,154.71838383413248,154.80252071427682,148.90061699246667,142.5195164135073,141.10004601410003,127.86086830331747,127.63619463059598,119.09722868120704,121.296340680879,133.27436066889226,142.35889997067522,145.1171066415608,154.6702241968908,166.7049748344173,170.40088886721082,188.6024827673507,193.8034007996369,188.3435530820402,221.3115395205316,235.1022010001372,243.68780265135464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.951729916522,227.358691772162,220.0813147200558,233.1770252271616,197.0508012962285,168.9736873025188,138.41066298760478,128.57898604038496,95.9562144507668,99.15985040775024,101.38040757352584,103.09193192687336,90.4205074143362,95.96538579211604,82.78860372258396,
2,2000-01-01 22:04:37+00:00,,,,,,,253.92713734799705,244.3773639092564,237.627901180547,227.8186634765005,215.8298175086001,208.7670534541412,201.2231705145697,193.91396026349355,192.8650952380508,196.47481128783,191.1055339096772,181.0590649400219,163.8391511938209,156.8489543560369,155.11427356748862,163.67694322322853,166.2782327094746,167.10766482922733,170.04556379880273,171.92342719362688,179.201402477884,193.66324041684567,221.68741699494703,246.4359923585409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.7993182163152,248.45537970862696,236.9497610247283,228.42212906669755,216.17313739462543,198.82663134797207,177.76528325482596,162.72674955284782,152.688237303214,147.3866419961318,144.16499120685145,153.07448039408916,143.71117854855902
3,2000-05-24 22:03:46+00:00,,,,,,,258.6427617764184,247.08908787442564,241.8472427822388,224.5858961047469,217.1857340456069,212.4009316661108,204.08518337300703,198.3758891876124,195.98791901179112,189.3628069216541,187.3280962610308,175.63428313924848,166.01945808468747,156.14047156584166,152.3111156177701,155.9078927637245,155.69980369611864,162.68305116072892,171.92510114799845,175.1588065132187,187.6910705972164,212.31959770460463,241.56454523973213,244.35661424981163,260.7619800800452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6868278569442,173.6571080444212,167.07796444926237,144.94024260756686
4,2000-07-11 22:03:17+00:00,,,,,,258.2126796387948,244.4952567937553,233.40445516898788,220.1732919371068,213.38580348613525,200.6794915515714,193.3204542166089,186.0271306785374,180.8017864858665,179.55254734642202,172.38412860083486,168.59407473242314,159.7376067124997,154.36336663502397,142.697140091445,138.37958616707436,151.39778046426554,152.20777168824765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2000-10-15 22:01:56+00:00,,,255.83356821503853,243.4833322512992,235.23801804999405,226.1425665172856,214.6004265542857,201.67638688875604,189.28560558299915,180.92567789894144,169.91554684627624,169.95048481334948,156.22274351194076,154.59627205059832,148.06611853976906,136.75063064081166,130.54615414595636,123.88316772932566,119.63483149400729,112.36679399099816,109.13632272549349,112.55046442632664,112.0292922300784,112.8586761730114,122.34549848208071,129.5948782677837,143.9112924261947,154.53709434682375,165.40916312900214,179.70008416478169,176.9500544866739,185.6801038821742,213.6271869520233,217.4639716518737,218.7316321843674,225.5362559400006,239.98702995941483,251.15348575990825,251.35566522982867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.1825444527704,243.4402165444804,239.0432966868329,234.75803488749168,234.20425425526008,226.58618523105133,233.60960964155493,238.31088650976983,236.4425291512162,239.9671305146589,249.50663689363225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.87190098647,254.36260378609896,240.446783849828,227.10096933674768,199.8124868262963,203.37081714236243,175.91699214212238,181.51203961944503,171.00723961185565,164.7070483649236,145.76529523257653,149.78258179875797,132.783823574164,120.12702288309636,108.1395140498488,94.61873911908096,85.50361926457786
6,2001-02-04 22:02:14+00:00,,,,,,,250.3732810878737,237.81890080499656,228.42195108904883,218.5696585437281,208.05791077883725,204.6176561630245,193.28959584099348,190.12661963662384,182.26587359475712,175.11035893447468,172.30178401434625,162.34639852123425,149.85294644643653,144.3446880144532,145.472717912326,151.69939241076912,152.2347478312488,156.69886185000908,165.35392400157136,175.15143957975732,179.64098501804602,195.622910134574,216.1290258891593,231.366363835841,240.488160800942,246.1737231329224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.3613619403733,247.81239755642068,235.3619477789278,235.0716564409433,234.078464699034,234.92795181666693,221.7710007093105,210.4714296331429,190.24313922082428,162.97765798231728,146.54365800161213
7,2001-06-12 22:01:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2001-12-21 22:00:29+00:00,,,,,,241.96885771821192,235.72723096120384,226.5484949293113,203.8541119466628,206.3517826762068,195.3774537472968,182.3895351124009,174.66556926043685,175.44116133279272,176.5186364419137,174.29170983978037,165.64965400650786,153.2983862268535,147.54529787456215,130.66657501251973,133.16492711155527,132.30371181262123,143.75128582463935,142.76801150177567,150.8437926985035,148.48823138872842,157.99438489308676,169.34351625945754,185.69775723460472,205.884339911047,219.0363583608815,219.16418250248847,236.9874038781984,,236.2653902404976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.69222386358473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.9684520075603,239.3950297990375,234.48539677640707,236.45875804798013,249.02528435020977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.2603310512557,241.62673014036045,227.2897438925064,219.7161931116308,195.81375965389944,182.99084307795297,188.0041863845029,178.43747803302696,166.21832695395608,139.46730027384572
9,2002-01-22 22:00:40+00:00,,,,,,,249.17303649293527,234.4890233678643,224.9478372216568,214.6944587894134,200.90412996191785,191.7663558565982,204.2207067332028,206.22476679447263,194.3088113971672,191.2317235314764,178.94067566279722,172.44914061645207,164.61493818747192,150.59043139961787,159.2546776509431,155.3058703163545,146.50293428388193,165.16840350840988,176.68577155707305,167.27567010277048,179.74825741666032,192.1291594224279,205.59674745257885,229.70399376691685,225.2916107998343,236.5183004255409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.7177748077441,248.04321760407885,245.240426063847,254.77465406100845,,,,,,,,90.77823763585285,,145.73939404468916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.6005255976341,250.6048454830569,241.8211661296868,233.3232454643928,218.5659413595755,212.2371081864109,205.31802610733644,198.07952023254205,169.0040152583509
