dates,tide
1999-08-26 22:00:00+00:00,-0.02
1999-09-27 22:00:00+00:00,0.98
1999-11-14 22:00:00+00:00,0.46
2000-03-30 22:00:00+00:00,-0.53
2000-06-02 22:00:00+00:00,0.15
2000-07-11 22:00:00+00:00,-0.83
2000-07-20 22:00:00+00:00,0.67
2001-01-03 22:00:00+00:00,-0.17
2001-03-01 22:00:00+00:00,0.49
2001-05-11 22:00:00+00:00,0.77
2001-07-14 22:00:00+00:00,-0.39
2001-08-08 21:50:00+00:00,0.65
2001-09-09 21:50:00+00:00,0.3
2001-09-25 21:50:00+00:00,-0.47
2001-12-05 22:00:00+00:00,0.93
2002-01-15 21:50:00+00:00,0.97
2002-01-22 22:00:00+00:00,-0.2
2002-03-27 22:00:00+00:00,-0.19
2002-04-28 22:00:00+00:00,0.86
2002-06-15 22:00:00+00:00,0.67
2002-07-17 22:00:00+00:00,-0.31
2002-08-02 22:00:00+00:00,-0.44
2002-08-18 22:00:00+00:00,-0.88
2002-08-27 21:50:00+00:00,0.66
2002-09-19 22:00:00+00:00,-0.39
2002-10-14 21:50:00+00:00,-0.52
2002-10-21 22:00:00+00:00,0.36
2002-11-22 22:00:00+00:00,0.87
2002-12-24 22:00:00+00:00,0.89
2003-01-18 21:50:00+00:00,0.57
2003-01-25 22:00:00+00:00,-0.07
2003-07-21 21:40:00+00:00,-0.39
2003-08-05 22:00:00+00:00,-0.2
2003-08-06 21:40:00+00:00,-0.71
2003-08-13 21:50:00+00:00,0.63
2003-09-07 21:40:00+00:00,-0.75
2003-09-14 21:50:00+00:00,0.84
2003-10-25 21:40:00+00:00,0.37
2003-11-17 21:50:00+00:00,-0.18
2003-12-04 21:50:00+00:00,-0.58
2003-12-12 21:40:00+00:00,0.87
2003-12-19 21:50:00+00:00,-0.78
2004-01-28 22:00:00+00:00,0.19
2004-02-06 21:50:00+00:00,0.61
2004-02-22 21:50:00+00:00,1.1
2004-03-25 21:50:00+00:00,0.72
2004-04-18 21:50:00+00:00,0.09
2004-05-03 22:00:00+00:00,-0.35
2004-05-12 21:50:00+00:00,-0.6
2004-05-20 21:50:00+00:00,0.54
2004-05-28 21:50:00+00:00,-0.56
2004-06-05 21:50:00+00:00,0.96
2004-07-06 22:00:00+00:00,0.79
2004-07-23 21:50:00+00:00,0.33
2004-07-30 21:50:00+00:00,-0.47
2004-07-31 21:50:00+00:00,0.03
2004-08-16 21:50:00+00:00,0.33
2004-09-09 21:50:00+00:00,-0.65
2004-09-25 21:50:00+00:00,-0.82
2004-11-03 22:00:00+00:00,0.4
2004-11-11 22:00:00+00:00,-0.22
2005-01-15 21:50:00+00:00,0.65
2005-02-23 22:00:00+00:00,0.33
2005-03-03 22:00:00+00:00,0.09
2005-03-11 22:00:00+00:00,0.9
2005-03-19 22:00:00+00:00,-0.4
2005-03-20 21:50:00+00:00,-0.47
2005-03-28 22:00:00+00:00,0.91
2005-04-21 21:50:00+00:00,-0.43
2005-05-06 22:00:00+00:00,-0.42
2005-07-09 22:00:00+00:00,0.63
2005-08-19 21:50:00+00:00,0.04
2005-09-12 21:50:00+00:00,-0.47
2005-11-30 22:00:00+00:00,-0.09
2006-01-10 22:00:00+00:00,-0.56
2006-02-11 22:00:00+00:00,0.05
2006-02-18 22:00:00+00:00,0.69
2006-02-19 22:00:00+00:00,0.49
2006-03-31 22:00:00+00:00,1.07
2006-04-08 22:00:00+00:00,-0.56
2006-05-02 22:00:00+00:00,0.6
2006-05-17 22:00:00+00:00,0.7
2006-05-26 22:00:00+00:00,-0.18
2006-06-19 22:00:00+00:00,-0.56
2006-06-26 22:00:00+00:00,0.33
2006-07-21 22:00:00+00:00,-0.88
2006-07-28 22:00:00+00:00,0.71
2006-08-22 22:00:00+00:00,-0.24
2006-09-07 22:00:00+00:00,-0.05
2006-10-01 22:00:00+00:00,-0.36
2006-12-11 22:10:00+00:00,0.36
2007-03-09 22:00:00+00:00,0.59
2007-03-18 22:00:00+00:00,0.1
2007-05-05 22:00:00+00:00,0.65
2007-05-12 22:00:00+00:00,-0.87
2007-05-28 22:00:00+00:00,-0.65
2007-06-22 22:00:00+00:00,-0.23
2007-10-12 22:00:00+00:00,0.6
2007-10-28 22:00:00+00:00,1.16
2007-11-20 22:00:00+00:00,-0.75
2007-12-31 22:00:00+00:00,-0.05
2008-01-16 22:00:00+00:00,-0.2
2008-01-23 22:00:00+00:00,0.82
2008-05-14 22:00:00+00:00,-0.76
2008-08-18 22:00:00+00:00,0.61
2008-08-27 21:50:00+00:00,-0.92
2008-09-03 22:00:00+00:00,0.93
2009-01-25 22:00:00+00:00,0.27
2009-02-02 22:00:00+00:00,0.24
2009-02-03 22:00:00+00:00,-0.12
2009-03-23 22:00:00+00:00,-0.43
2009-06-02 22:00:00+00:00,-0.85
2009-06-18 22:00:00+00:00,-0.84
2009-07-13 22:00:00+00:00,0.39
2009-07-20 22:00:00+00:00,-0.74
2009-08-05 22:00:00+00:00,-0.01
2009-08-21 22:00:00+00:00,0.62
2009-08-30 22:00:00+00:00,-0.68
2009-09-06 22:00:00+00:00,0.65
2009-11-25 22:00:00+00:00,-0.16
2010-01-05 22:00:00+00:00,0.93
2010-01-20 22:00:00+00:00,0.75
2010-01-28 22:00:00+00:00,-0.38
2010-01-29 22:00:00+00:00,0.05
2010-02-05 22:00:00+00:00,0.23
2010-02-21 22:00:00+00:00,0.22
2010-03-17 22:00:00+00:00,0.72
2010-05-13 22:00:00+00:00,-0.06
2010-05-29 22:00:00+00:00,0.56
2010-06-21 22:00:00+00:00,-0.9
2010-06-30 22:00:00+00:00,0.68
2010-07-07 22:00:00+00:00,-0.79
2010-07-16 22:00:00+00:00,0.75
2010-07-23 22:00:00+00:00,-0.65
2010-08-17 22:00:00+00:00,-0.33
2010-10-04 22:00:00+00:00,-0.95
2010-10-27 22:00:00+00:00,0.91
2010-12-31 22:00:00+00:00,-0.7
2011-01-07 22:00:00+00:00,1.03
2011-03-13 22:00:00+00:00,-0.16
2011-04-13 22:00:00+00:00,-0.74
2011-05-07 22:10:00+00:00,0.7
2011-05-23 22:10:00+00:00,0.25
2011-07-10 22:10:00+00:00,-0.87
2011-07-26 22:10:00+00:00,-0.75
2011-08-20 22:00:00+00:00,0.28
2011-08-27 22:10:00+00:00,-0.67
2011-09-05 22:00:00+00:00,-0.32
2012-04-07 22:10:00+00:00,0.5
2012-05-02 22:00:00+00:00,-0.93
2012-06-19 22:00:00+00:00,0.09
2012-06-26 22:10:00+00:00,0.19
2012-07-05 22:00:00+00:00,0.77
2012-07-12 22:10:00+00:00,-0.51
2012-08-22 22:00:00+00:00,0.84
2012-12-12 22:00:00+00:00,-0.15
2012-12-28 22:00:00+00:00,0.46
2013-01-04 22:10:00+00:00,0.38
2013-02-05 22:10:00+00:00,-0.6
2013-02-21 22:10:00+00:00,-0.51
2013-03-09 22:10:00+00:00,-0.57
2013-04-10 22:10:00+00:00,0.24
2013-04-11 22:10:00+00:00,0.54
2013-04-19 22:00:00+00:00,-0.39
2013-05-12 22:10:00+00:00,0.67
2013-05-29 22:10:00+00:00,0.84
2013-06-05 22:10:00+00:00,-0.75
2013-06-21 22:10:00+00:00,-0.92
2013-07-07 22:10:00+00:00,-0.16
2013-07-08 22:00:00+00:00,0.2
2013-07-15 22:10:00+00:00,0.18
2013-07-16 22:10:00+00:00,-0.17
2013-07-24 22:00:00+00:00,0.87
2013-08-08 22:10:00+00:00,0.52
2013-09-02 22:10:00+00:00,-0.63
2013-09-17 22:10:00+00:00,-0.77
2013-11-12 22:10:00+00:00,-0.71
2013-11-21 22:10:00+00:00,0.96
2013-12-14 22:10:00+00:00,-0.51
2013-12-15 22:00:00+00:00,-0.19
2014-01-24 22:10:00+00:00,0.02
2014-02-01 22:00:00+00:00,1.15
2014-02-16 22:10:00+00:00,0.75
2014-02-25 22:10:00+00:00,-0.8
2014-03-05 22:00:00+00:00,0.98
2014-03-20 22:10:00+00:00,0.93
2014-03-21 22:00:00+00:00,0.8
2014-03-28 22:10:00+00:00,-0.7
2014-03-29 22:10:00+00:00,-0.34
