dates,sar2373-0000,sar2373-0001,sar2373-0002,sar2373-0003,sar2373-0004,sar2373-0005,sar2373-0006,sar2373-0007,satname
1984-04-13 09:26:43+00:00,658.53,178.85,183.09,337.67,479.79,194.32,199.99,187.22,L5
1984-05-06 09:33:03+00:00,656.97,174.89,175.19,331.57,485.96,189.83,196.52,179.67,L5
1984-07-18 09:28:46+00:00,660.6,184.14,182.83,341.74,486.41,201.01,200.91,190.06,L5
1984-08-03 09:29:20+00:00,661.19,184.28,187.61,351.09,487.51,204.07,200.37,190.75,L5
1984-08-19 09:29:27+00:00,657.13,178.46,181.56,331.58,487.38,189.96,191.45,187.8,L5
1984-08-26 09:35:45+00:00,637.78,178.45,171.41,341.6,490.8,189.87,162.55,178.87,L5
1984-09-04 09:29:37+00:00,656.32,177.92,182.01,335.99,486.94,193.63,197.75,186.56,L5
1984-09-11 09:35:50+00:00,651.22,178.21,177.35,342.22,489.99,192.13,179.15,182.56,L5
1984-09-20 09:30:04+00:00,658.99,180.14,173.8,334.87,487.28,190.13,199.06,190.49,L5
1984-10-13 09:35:49+00:00,,163.6,167.98,,490.47,,,,L5
1984-10-22 09:29:36+00:00,659.8,178.83,182.6,332.91,487.93,189.69,199.7,191.09,L5
1984-11-07 09:29:29+00:00,634.34,177.84,173.89,329.32,493.48,190.03,,179.43,L5
1985-01-17 09:36:05+00:00,656.48,180.43,181.98,336.5,488.19,193.72,198.94,187.69,L5
1985-02-02 09:36:09+00:00,654.32,177.89,179.92,331.07,491.36,189.89,197.36,180.17,L5
1985-04-23 09:35:59+00:00,634.47,178.54,180.06,332.58,491.71,179.83,,174.19,L5
1985-05-02 09:30:07+00:00,664.84,186.77,179.9,335.54,488.5,190.12,197.01,182.77,L5
1985-06-03 09:29:40+00:00,652.33,177.25,180.7,337.17,488.73,196.83,187.85,182.02,L5
1985-06-10 09:35:50+00:00,652.6,167.86,168.86,332.62,494.41,180.59,188.5,171.4,L5
1985-06-26 09:35:47+00:00,649.01,177.55,176.36,332.88,496.25,189.83,184.8,175.84,L5
1985-07-05 09:29:33+00:00,647.85,177.31,182.05,345.12,489.65,195.02,184.08,187.06,L5
1985-08-13 09:35:25+00:00,647.9,177.72,179.96,335.69,494.19,192.36,178.62,181.44,L5
1985-08-22 09:29:08+00:00,658.25,191.82,176.66,334.45,490.05,191.95,196.42,182.49,L5
1985-10-09 09:28:59+00:00,654.89,192.99,182.36,342.42,490.42,198.58,195.8,190.46,L5
1985-11-10 09:28:33+00:00,659.72,179.03,181.4,342.13,487.22,196.25,204.06,190.47,L5
1985-12-03 09:33:55+00:00,652.4,177.39,183.54,327.81,486.63,192.97,187.6,185.7,L5
1986-01-04 09:33:20+00:00,651.73,177.6,168.62,329.73,494.78,189.57,176.69,179.6,L5
1986-01-13 09:26:58+00:00,652.01,179.99,184.58,338.47,490.05,197.1,186.68,187.36,L5
1986-02-21 09:32:17+00:00,665.92,186.08,186.51,342.04,487.3,192.61,200.94,189.75,L5
1986-03-18 09:25:34+00:00,658.67,177.97,181.43,327.89,478.85,189.86,193.2,184.43,L5
