dates,nzd0466-0000,nzd0466-0001,nzd0466-0002,nzd0466-0003,nzd0466-0004,nzd0466-0005,nzd0466-0006,nzd0466-0007,nzd0466-0008,nzd0466-0009,nzd0466-0010,nzd0466-0011,nzd0466-0012,nzd0466-0013,nzd0466-0014,nzd0466-0015,nzd0466-0016,nzd0466-0017,nzd0466-0018,nzd0466-0019,nzd0466-0020,nzd0466-0021,nzd0466-0022,nzd0466-0023,nzd0466-0024,nzd0466-0025,nzd0466-0026,nzd0466-0027,nzd0466-0028,nzd0466-0029,nzd0466-0030,nzd0466-0031,nzd0466-0032,nzd0466-0033,nzd0466-0034,nzd0466-0035,nzd0466-0036,nzd0466-0037,nzd0466-0038,nzd0466-0039,nzd0466-0040,nzd0466-0041,nzd0466-0042,nzd0466-0043,nzd0466-0044,nzd0466-0045,nzd0466-0046,nzd0466-0047,nzd0466-0048,nzd0466-0049,nzd0466-0050,nzd0466-0051,nzd0466-0052,nzd0466-0053,nzd0466-0054,nzd0466-0055,nzd0466-0056,nzd0466-0057,nzd0466-0058,nzd0466-0059,nzd0466-0060,nzd0466-0061,nzd0466-0062,nzd0466-0063,nzd0466-0064,nzd0466-0065,nzd0466-0066,nzd0466-0067,nzd0466-0068,nzd0466-0069,nzd0466-0070,nzd0466-0071,nzd0466-0072,nzd0466-0073,nzd0466-0074,nzd0466-0075,nzd0466-0076,nzd0466-0077,nzd0466-0078,nzd0466-0079,nzd0466-0080,nzd0466-0081,nzd0466-0082,nzd0466-0083,nzd0466-0084,nzd0466-0085,nzd0466-0086,nzd0466-0087,nzd0466-0088,nzd0466-0089,nzd0466-0090,nzd0466-0091,nzd0466-0092,nzd0466-0093,nzd0466-0094,nzd0466-0095,nzd0466-0096,nzd0466-0097,nzd0466-0098,nzd0466-0099,nzd0466-0100,nzd0466-0101,nzd0466-0102,nzd0466-0103,nzd0466-0104,nzd0466-0105,nzd0466-0106,nzd0466-0107,nzd0466-0108,nzd0466-0109,nzd0466-0110,nzd0466-0111,nzd0466-0112,nzd0466-0113,nzd0466-0114,nzd0466-0115,nzd0466-0116,nzd0466-0117,nzd0466-0118,nzd0466-0119,nzd0466-0120,nzd0466-0121,nzd0466-0122,nzd0466-0123,nzd0466-0124,nzd0466-0125,nzd0466-0126,nzd0466-0127,nzd0466-0128,nzd0466-0129,nzd0466-0130,nzd0466-0131,nzd0466-0132,nzd0466-0133,satname
1999-08-26 22:07:08+00:00,322.09,320.21,314.42,299.80,302.34,298.71,303.26,302.40,309.03,311.08,314.45,319.32,317.49,323.10,327.32,326.04,321.02,325.35,327.37,328.84,328.54,329.72,325.95,327.89,330.51,323.26,321.70,324.10,327.19,327.64,323.65,321.18,325.06,321.63,323.45,322.66,323.89,320.53,322.67,318.92,317.46,311.82,315.89,312.50,310.07,305.90,307.81,318.09,320.54,326.76,331.46,329.44,317.63,322.94,322.04,322.67,323.04,326.13,332.42,333.61,327.97,330.13,339.75,343.90,342.30,338.68,334.04,335.76,330.22,329.38,338.79,341.41,336.73,332.64,324.78,332.86,331.30,329.40,323.57,324.92,322.02,315.76,311.51,312.15,309.75,318.95,325.12,325.75,326.12,325.98,331.43,335.44,329.87,327.42,323.19,320.03,317.89,316.32,322.80,325.48,333.16,331.49,327.26,321.24,321.14,312.60,314.13,313.72,312.95,312.66,311.57,310.32,315.63,309.03,308.33,306.86,312.46,310.48,309.98,318.17,322.90,330.81,333.30,336.00,336.12,334.04,340.45,340.42,336.54,335.90,330.00,328.62,334.36,331.85,L7
1999-09-27 22:07:12+00:00,333.47,329.72,327.83,325.35,326.21,317.43,321.87,316.99,320.43,321.72,328.86,332.83,333.61,339.00,342.11,338.60,340.91,347.91,339.57,346.02,349.48,350.21,350.23,354.17,348.78,349.23,344.69,343.37,341.25,340.76,336.76,339.91,340.31,340.83,343.07,341.48,334.54,332.07,327.61,334.55,337.93,336.38,334.02,333.38,333.02,333.85,335.31,338.80,340.68,344.84,348.06,347.94,341.24,348.93,346.01,343.62,348.50,353.72,356.26,359.66,359.51,355.29,357.14,355.94,356.07,351.52,354.20,363.47,363.71,361.21,361.74,360.09,355.04,355.25,350.65,347.78,345.51,340.16,336.97,337.39,337.79,337.31,336.18,330.98,335.75,339.81,339.52,336.76,336.60,344.56,348.53,349.45,351.29,344.77,346.15,344.69,350.02,347.15,348.52,343.11,346.99,347.75,344.85,336.10,333.78,330.44,330.64,327.62,327.50,327.87,326.98,330.98,330.65,334.57,335.87,337.34,335.45,337.24,335.16,335.15,339.01,346.42,345.86,346.02,351.85,352.70,360.01,359.83,357.83,354.32,352.61,351.17,349.96,345.11,L7
1999-11-30 22:06:59+00:00,329.60,329.20,329.39,327.87,323.87,321.57,321.02,322.72,324.24,327.55,331.71,330.45,343.02,344.97,343.52,344.19,349.16,347.20,348.50,345.92,351.24,350.56,355.65,352.98,355.14,346.76,347.09,346.55,346.56,343.19,346.02,346.94,350.57,345.01,340.56,342.00,338.94,336.05,330.86,329.60,331.35,334.48,331.99,337.58,336.21,337.79,340.21,331.75,338.85,340.95,344.29,342.54,343.87,345.12,349.62,349.60,348.90,350.60,352.91,357.98,353.80,349.82,346.23,351.52,350.33,355.64,352.70,351.72,358.34,358.89,356.14,357.05,355.23,350.53,351.04,343.26,343.56,338.67,336.66,334.98,334.66,329.82,331.13,333.02,337.39,336.18,336.93,341.45,338.33,335.70,335.19,336.79,336.60,334.37,332.14,332.03,331.17,336.33,338.93,348.57,346.48,349.12,349.32,347.09,338.62,332.26,333.10,325.02,324.89,325.37,330.33,328.46,330.04,329.41,330.90,328.28,330.03,328.34,330.07,333.56,335.16,339.60,346.32,344.21,347.47,348.47,351.67,351.87,354.58,355.80,354.75,353.24,348.20,347.57,L7
2000-02-18 22:06:52+00:00,335.93,324.17,323.29,324.81,318.93,322.08,321.67,323.81,331.99,328.44,331.22,335.33,335.06,339.33,333.38,335.12,340.70,343.82,345.11,346.11,351.61,348.88,352.64,356.74,353.08,344.54,340.60,339.99,336.88,336.91,335.11,341.82,342.15,338.88,340.97,338.40,339.62,337.96,338.49,334.74,335.80,332.23,334.02,328.46,332.53,330.72,336.50,337.52,331.14,339.16,348.15,348.77,341.65,342.06,337.69,341.74,345.37,345.04,348.39,344.85,344.08,343.37,345.56,346.35,350.41,350.79,349.44,356.07,349.87,353.32,357.90,351.59,348.08,348.37,346.38,341.93,338.46,338.16,337.30,341.63,334.84,338.34,332.42,329.24,333.42,333.65,331.81,331.90,335.49,342.85,343.15,344.21,341.37,345.93,342.89,340.58,341.32,345.48,344.51,339.34,338.80,334.74,331.80,329.81,328.07,326.16,323.39,329.11,327.55,331.39,329.02,331.91,329.82,335.16,337.79,337.06,328.44,339.43,337.88,335.41,341.52,347.38,351.01,352.34,352.32,359.05,358.88,359.70,357.81,353.61,348.20,351.38,351.88,343.00,L7
2000-03-21 22:06:49+00:00,326.57,323.06,329.89,321.91,325.40,319.18,322.52,315.31,325.30,323.81,325.50,324.05,330.00,344.11,336.53,337.80,349.12,344.39,344.66,344.30,344.06,346.65,349.72,360.10,354.23,344.34,340.77,340.94,341.88,336.90,331.80,339.57,339.39,336.54,344.92,350.03,338.71,338.16,331.85,330.31,341.99,331.38,329.81,336.06,335.48,329.73,331.73,341.79,330.95,341.00,341.34,350.46,343.77,335.04,337.39,340.03,340.53,344.38,343.77,352.86,350.66,345.50,342.37,347.85,355.84,347.80,343.68,348.49,345.92,352.09,353.27,356.23,347.25,351.60,349.01,347.50,337.90,337.59,337.18,338.60,331.72,328.07,334.23,329.06,328.71,340.60,342.12,337.37,332.00,341.12,339.90,344.83,339.82,338.30,330.68,342.99,338.69,330.49,340.93,343.57,346.36,341.54,332.05,330.01,331.98,330.64,323.55,325.90,325.66,332.12,325.64,325.97,334.78,334.54,338.52,333.55,335.46,336.72,339.63,336.60,335.15,339.34,349.92,345.69,354.02,353.69,358.87,362.48,353.58,349.42,347.61,347.15,349.61,343.06,L7
2000-05-08 22:06:20+00:00,337.18,336.54,332.54,334.82,323.45,325.01,330.67,333.00,333.10,334.59,334.99,335.43,346.44,344.03,337.43,341.52,352.05,347.96,351.44,354.37,358.07,351.44,357.64,351.49,355.38,354.94,352.89,344.16,346.97,352.31,346.26,349.51,351.45,349.27,346.24,346.38,345.71,341.49,337.93,338.35,337.22,334.81,340.33,335.76,338.85,341.94,340.23,346.08,342.57,342.56,344.21,351.15,349.56,343.60,346.42,347.77,353.97,356.69,358.51,357.17,359.52,354.77,358.67,357.20,357.77,360.13,357.47,355.12,355.71,358.59,365.61,362.65,362.08,360.95,359.53,359.10,352.69,351.66,347.80,341.52,334.63,339.51,338.63,338.51,341.73,343.96,342.41,345.94,348.08,348.46,350.69,350.06,344.34,337.75,340.93,338.07,341.31,340.78,335.80,354.75,353.75,349.19,352.35,347.12,344.00,341.10,339.18,331.60,331.02,336.65,335.44,335.14,338.25,339.45,347.25,344.30,344.34,342.50,341.10,344.46,350.99,352.05,354.92,361.92,360.91,361.64,362.09,362.42,366.03,364.10,361.22,357.16,354.16,351.12,L7
2000-07-11 22:05:41+00:00,325.88,328.39,325.22,321.43,314.50,319.05,327.03,318.15,325.36,327.89,324.31,324.01,333.67,335.89,332.43,329.18,330.95,335.31,333.34,343.55,342.49,346.69,353.68,347.43,350.56,340.90,343.47,336.96,333.17,334.84,338.89,343.51,340.05,337.05,343.89,339.87,344.45,335.29,327.52,318.59,322.55,324.95,326.50,326.04,327.18,319.18,320.13,323.52,326.41,336.27,343.21,339.76,341.33,339.00,339.79,342.31,339.32,339.12,344.74,338.90,342.72,342.14,340.52,346.70,349.63,348.01,340.56,347.58,351.17,352.11,345.68,352.50,350.80,345.47,340.82,338.35,338.22,341.68,335.08,333.12,331.32,328.08,328.59,330.62,331.50,330.54,337.98,330.01,330.37,333.63,339.49,342.89,338.70,337.78,336.65,333.79,326.51,337.32,331.33,339.27,334.49,343.83,343.88,339.02,336.90,329.19,326.39,326.89,322.26,321.37,325.09,326.63,324.34,325.65,323.68,328.35,331.53,326.53,327.98,332.39,339.62,342.43,347.60,353.51,348.26,349.33,353.90,352.65,347.74,,,,,,L7
2000-07-27 22:05:24+00:00,337.00,334.01,333.55,330.63,326.49,328.23,328.63,332.37,335.63,342.02,337.53,338.44,345.03,348.93,346.96,346.83,348.54,352.66,352.06,357.08,360.58,356.76,361.67,363.32,361.12,356.17,356.03,352.37,351.47,343.34,347.11,347.70,346.13,351.09,347.78,348.95,347.42,343.45,342.49,341.52,340.54,339.31,340.48,338.13,340.87,339.09,336.45,342.81,339.12,348.83,353.12,348.42,352.69,351.69,348.50,349.18,348.06,353.80,354.79,356.03,351.92,358.19,356.32,360.20,360.44,360.09,357.04,357.05,359.62,360.20,362.53,359.61,363.13,357.84,357.95,351.74,350.51,350.26,350.22,343.69,342.38,342.02,337.78,338.48,340.44,341.04,346.51,351.59,346.81,348.77,352.17,353.38,347.93,348.58,345.94,345.56,344.88,348.20,349.14,353.65,352.65,353.64,356.29,355.15,345.69,342.08,344.13,336.18,336.84,338.33,344.21,339.27,339.94,337.50,343.44,343.50,338.48,336.98,341.85,345.17,344.66,355.39,357.46,363.46,362.63,361.15,363.02,366.12,364.61,360.60,359.58,359.53,352.18,352.90,L7
2000-08-12 22:05:17+00:00,331.91,331.04,330.77,328.83,321.54,326.29,324.01,328.90,328.60,324.14,328.95,331.72,335.89,339.94,339.22,340.38,345.29,347.83,349.94,352.62,357.06,355.12,359.29,355.68,350.53,350.68,349.22,342.92,344.83,340.09,347.31,347.93,347.06,348.47,350.44,347.57,345.16,340.17,339.51,338.52,341.17,337.75,335.09,334.43,333.81,338.32,337.91,340.62,336.24,345.18,344.72,346.20,344.04,345.53,345.43,345.01,349.49,349.87,351.45,353.66,349.19,350.77,354.06,354.77,355.92,352.19,351.35,352.73,353.05,353.31,355.95,354.46,354.25,352.34,351.07,348.61,340.57,340.75,341.47,338.22,332.43,330.87,330.35,328.44,327.72,332.33,334.91,333.87,337.32,338.65,339.97,340.50,338.95,338.02,337.22,337.22,337.90,336.72,338.86,338.39,339.93,341.82,344.51,339.10,335.07,330.93,329.76,330.03,325.01,329.20,329.09,329.02,331.51,332.17,332.95,333.81,332.07,334.96,332.70,334.79,338.19,344.45,346.93,349.33,350.38,350.10,357.10,353.77,354.38,351.79,350.49,348.05,343.09,341.95,L7
2000-10-15 22:04:20+00:00,315.76,317.14,308.67,309.33,305.84,306.80,305.29,309.31,309.17,305.65,309.47,314.67,320.71,328.47,328.13,327.51,326.97,323.94,334.74,350.84,341.65,332.21,334.14,333.63,337.45,332.05,326.07,322.44,320.73,322.85,322.69,327.14,329.64,326.75,327.86,325.00,327.11,327.43,327.05,320.42,325.45,313.83,316.74,318.54,319.97,317.06,319.80,319.93,324.53,323.89,328.33,326.11,326.31,322.72,323.44,323.41,326.88,329.70,325.49,322.45,330.72,337.12,348.26,350.73,357.02,341.74,339.55,315.70,312.82,311.30,312.31,333.14,333.71,323.10,322.67,305.14,,,,318.02,304.72,294.75,296.07,,,,,,,,,,,,,,,,,,,,,,,,309.39,313.51,312.57,306.91,310.77,310.37,309.19,314.67,312.63,320.31,318.08,314.95,312.90,319.09,325.26,324.96,326.14,329.46,337.64,338.28,341.99,341.13,340.27,336.99,338.45,333.45,335.95,331.09,L7
