dates,nzd0105-0000,nzd0105-0001,nzd0105-0002,nzd0105-0003,nzd0105-0004,nzd0105-0005,nzd0105-0006,nzd0105-0007,nzd0105-0008,nzd0105-0009,nzd0105-0010,nzd0105-0011,nzd0105-0012,nzd0105-0013,nzd0105-0014,nzd0105-0015,nzd0105-0016,nzd0105-0017,nzd0105-0018,nzd0105-0019,nzd0105-0020,nzd0105-0021,nzd0105-0022,nzd0105-0023,nzd0105-0024,nzd0105-0025,nzd0105-0026,nzd0105-0027,nzd0105-0028,nzd0105-0029,nzd0105-0030,nzd0105-0031,nzd0105-0032,nzd0105-0033,nzd0105-0034,nzd0105-0035,nzd0105-0036,nzd0105-0037,nzd0105-0038,nzd0105-0039,nzd0105-0040,nzd0105-0041,nzd0105-0042,nzd0105-0043,nzd0105-0044,nzd0105-0045,nzd0105-0046,nzd0105-0047,nzd0105-0048,nzd0105-0049,nzd0105-0050,nzd0105-0051,nzd0105-0052,nzd0105-0053,nzd0105-0054,nzd0105-0055,nzd0105-0056,nzd0105-0057,nzd0105-0058,nzd0105-0059,nzd0105-0060,nzd0105-0061,nzd0105-0062,nzd0105-0063,nzd0105-0064,nzd0105-0065,nzd0105-0066,nzd0105-0067,nzd0105-0068,nzd0105-0069,nzd0105-0070,nzd0105-0071,nzd0105-0072,nzd0105-0073,nzd0105-0074,nzd0105-0075,nzd0105-0076,nzd0105-0077,nzd0105-0078,nzd0105-0079,nzd0105-0080,nzd0105-0081,nzd0105-0082,nzd0105-0083,nzd0105-0084,nzd0105-0085,nzd0105-0086,nzd0105-0087,nzd0105-0088,nzd0105-0089,nzd0105-0090,nzd0105-0091,nzd0105-0092,nzd0105-0093,nzd0105-0094,nzd0105-0095,nzd0105-0096,nzd0105-0097,nzd0105-0098,nzd0105-0099,nzd0105-0100,nzd0105-0101,nzd0105-0102,nzd0105-0103,nzd0105-0104,nzd0105-0105,nzd0105-0106,nzd0105-0107,nzd0105-0108,nzd0105-0109,nzd0105-0110,nzd0105-0111,nzd0105-0112,nzd0105-0113,nzd0105-0114,nzd0105-0115,nzd0105-0116,nzd0105-0117,nzd0105-0118,nzd0105-0119,nzd0105-0120,nzd0105-0121,nzd0105-0122,nzd0105-0123,nzd0105-0124,nzd0105-0125,nzd0105-0126,nzd0105-0127,nzd0105-0128,nzd0105-0129,nzd0105-0130,nzd0105-0131,nzd0105-0132,nzd0105-0133,nzd0105-0134,nzd0105-0135,nzd0105-0136,nzd0105-0137,nzd0105-0138,nzd0105-0139,nzd0105-0140,nzd0105-0141,nzd0105-0142,nzd0105-0143,nzd0105-0144,nzd0105-0145,nzd0105-0146,nzd0105-0147,nzd0105-0148,nzd0105-0149,nzd0105-0150,nzd0105-0151,nzd0105-0152,nzd0105-0153,nzd0105-0154,nzd0105-0155,nzd0105-0156,nzd0105-0157,nzd0105-0158,nzd0105-0159,nzd0105-0160,nzd0105-0161,nzd0105-0162,nzd0105-0163,nzd0105-0164,nzd0105-0165,nzd0105-0166,nzd0105-0167,nzd0105-0168,nzd0105-0169,nzd0105-0170,nzd0105-0171,nzd0105-0172,nzd0105-0173,nzd0105-0174,nzd0105-0175,nzd0105-0176,nzd0105-0177,nzd0105-0178,nzd0105-0179,satname
1999-08-26 22:04:44+00:00,268.44,251.24,275.57,238.82,260.60,242.71,228.95,218.22,,,268.98,254.09,,270.66,275.35,274.40,316.71,,270.69,,,260.52,286.82,270.78,260.47,,,,317.84,,248.66,235.07,224.13,236.82,249.06,247.15,,320.09,246.56,252.14,288.98,306.91,,,,,241.49,,,260.21,270.48,271.53,246.94,238.06,229.36,238.78,259.86,,252.86,266.88,280.38,,,250.66,252.83,241.48,252.86,255.42,265.40,251.40,258.27,254.70,241.56,242.21,263.57,274.83,257.44,264.78,240.89,242.56,252.11,,257.14,270.73,278.46,281.71,281.90,298.17,285.32,285.21,284.46,304.26,291.26,250.43,264.74,267.72,279.56,314.56,277.59,,280.65,266.66,265.19,301.86,248.73,255.54,289.70,248.14,239.31,240.38,249.27,229.56,258.66,264.39,250.09,256.02,255.37,265.43,272.70,262.09,300.81,253.34,327.09,320.15,254.10,249.41,256.38,,242.50,242.30,233.20,249.08,256.08,246.07,255.74,245.75,,303.00,321.98,337.19,308.70,309.55,328.35,222.24,252.53,237.32,261.21,266.17,251.78,,236.18,222.75,276.20,303.80,280.01,283.50,313.57,259.61,241.46,259.61,234.49,233.22,276.32,278.95,253.12,273.64,234.58,237.68,236.79,255.08,208.89,217.82,206.54,192.63,164.67,146.37,174.88,205.03,246.21,267.54,L7
1999-09-27 22:04:48+00:00,276.34,251.68,287.62,257.62,250.15,253.13,249.83,252.90,,,276.36,270.72,,290.57,279.73,285.70,296.00,,285.21,,,282.15,272.59,268.71,260.42,323.57,,,313.43,325.71,253.63,238.74,230.57,245.37,255.93,254.41,,328.39,233.42,246.63,300.79,289.53,,,,,264.72,,,269.44,276.07,281.01,258.13,248.07,236.43,243.30,260.71,330.39,248.11,275.82,271.56,,310.05,288.97,263.58,258.52,255.00,257.78,264.86,263.16,266.09,257.52,246.15,253.70,269.93,281.67,267.57,269.94,251.19,255.59,259.09,,268.87,269.04,284.89,296.58,286.77,298.50,291.77,295.16,283.56,300.30,260.49,267.64,261.07,269.01,290.66,309.86,286.53,282.37,289.71,266.87,271.75,294.46,259.84,271.37,291.78,254.41,244.81,251.20,251.90,236.37,268.06,259.84,262.22,264.91,261.89,276.17,277.01,244.75,308.79,245.77,307.29,330.88,261.01,255.83,251.28,317.23,238.02,245.00,245.58,260.46,264.95,249.84,262.11,259.75,,304.10,317.07,326.94,306.78,298.14,327.07,225.71,281.98,252.28,257.91,264.11,255.31,,256.11,238.92,260.83,314.98,297.93,265.86,316.08,280.14,267.37,266.03,241.91,249.46,269.37,278.73,252.16,256.86,260.18,255.70,238.82,261.04,229.86,226.76,217.01,194.42,181.62,153.47,187.68,229.97,240.86,263.72,L7
2000-03-28 22:10:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.57,,,,,367.80,,,,378.92,373.83,,,,,375.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-15 22:10:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.06,374.32,364.61,363.48,363.27,359.13,341.35,,351.20,355.69,362.25,,,,,364.81,,,,,,,363.08,,,,,225.49,,,,,,,207.88,231.90,,197.41,193.72,178.00,179.62,149.02,154.84,,239.92,253.19,L7
2000-07-11 22:03:17+00:00,,,,,,,,,,,,,,,,,369.55,354.36,,,,,,,,,,,,,,,,,355.86,359.51,367.97,370.77,,351.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.05,,,218.52,209.59,,,,375.16,369.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.27,,,,,,,,,,,,,,,,,243.62,,234.18,,,200.79,,,173.39,180.99,176.38,157.35,137.51,139.67,,211.79,,L7
2000-08-19 22:09:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.08,352.79,352.03,350.02,338.55,337.43,,,,,315.16,339.07,332.46,,,,,,,,,,,,,,,,,349.39,350.00,350.92,,338.18,,255.96,,,,,218.39,198.46,,,,,,,L7
2001-03-08 22:02:09+00:00,284.00,271.73,285.63,295.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.49,255.05,260.57,258.04,259.64,257.73,258.51,264.66,248.50,251.51,,,,,,,,,,,,,,,311.95,313.04,296.16,306.54,294.51,304.27,,302.49,310.03,322.92,327.81,319.68,310.17,323.81,301.43,311.19,,295.73,306.24,281.96,332.55,266.02,318.28,330.79,343.60,341.75,332.76,,,,,332.82,306.19,,335.10,347.44,333.81,348.75,342.09,345.58,360.59,368.92,,,352.61,348.47,363.85,363.52,348.24,334.41,328.35,326.83,,296.67,319.77,316.18,327.53,269.84,,279.12,261.68,,246.01,245.74,299.28,304.44,326.72,325.25,325.98,327.04,,,,338.22,324.13,323.96,291.22,326.56,297.22,280.99,,,266.90,,248.06,236.81,338.57,,,209.95,245.95,278.07,L7
2001-03-24 22:01:59+00:00,330.30,,337.43,338.70,350.96,,340.00,344.66,349.76,334.07,343.91,349.56,356.36,351.19,342.57,352.29,344.28,346.48,,367.87,351.67,361.81,350.95,,350.86,345.21,359.10,345.23,340.38,356.09,,,,,357.42,347.33,355.51,354.58,345.56,347.37,345.52,346.16,366.58,353.03,355.17,379.05,345.43,349.64,323.28,339.28,347.24,355.12,345.88,339.83,,,364.17,357.63,360.57,358.05,348.93,359.54,347.39,353.45,,358.10,352.91,360.02,,,,360.77,,,357.73,355.58,358.63,,,,,356.40,,,,351.31,341.18,349.04,342.84,357.44,341.97,352.11,338.91,351.54,,356.13,353.24,350.08,356.59,355.71,,347.54,329.33,324.21,,313.53,316.02,315.41,350.64,354.56,351.84,353.95,364.70,365.85,356.35,,,,,369.60,340.18,,357.94,365.63,356.75,369.36,362.78,361.45,377.30,386.08,,,371.31,369.60,376.17,377.18,361.49,354.90,355.36,353.08,317.19,328.11,352.91,344.31,352.58,,,,,361.93,,,,,347.94,343.27,354.28,361.68,,,,368.46,349.46,342.42,279.71,331.51,,279.19,,,,,,,364.85,,,,,,L7
2001-12-21 22:00:29+00:00,336.30,,326.88,329.19,326.45,328.38,340.70,349.37,347.37,341.83,336.77,333.03,333.26,344.88,347.60,340.26,337.92,313.27,337.37,346.06,351.63,331.66,320.73,329.52,332.49,343.41,347.26,364.42,365.25,350.57,,,,344.68,346.99,354.19,352.88,342.67,334.82,332.33,336.62,327.81,348.20,350.00,346.15,339.27,341.68,320.87,303.44,326.25,323.98,342.59,360.18,358.41,,,347.49,333.75,335.01,333.12,346.12,352.55,339.82,322.58,315.39,331.44,358.43,369.11,,,,351.69,,,338.32,337.79,334.66,,,,,346.11,,,,346.90,346.96,338.24,341.75,335.31,346.28,347.94,335.20,345.84,334.94,333.97,339.47,345.62,330.19,316.72,312.62,319.54,337.74,340.51,,341.62,348.61,340.39,347.00,354.87,355.54,359.39,353.95,349.67,,,,,,,,,,,,353.68,349.52,346.83,346.54,346.90,,320.81,326.37,337.81,355.00,360.26,357.58,352.32,342.75,325.66,303.94,311.42,310.39,334.05,338.48,348.91,352.32,,357.19,343.36,340.09,336.27,339.51,341.92,347.37,350.91,354.41,339.64,321.79,318.63,313.35,330.88,349.43,360.74,,353.37,,,,,,,,,350.01,,,,,,L7
2002-01-06 22:00:31+00:00,,270.28,,298.42,296.40,300.49,328.78,336.11,323.70,335.73,324.77,321.62,322.51,332.88,334.96,326.37,336.39,307.91,324.61,323.30,328.30,307.70,296.26,306.99,311.38,330.07,344.60,360.42,356.88,337.66,,,,330.19,336.24,339.94,331.06,328.87,318.03,324.01,338.18,357.19,348.46,331.74,322.96,311.47,302.62,296.35,,306.75,311.48,322.93,337.85,350.90,,,325.63,318.53,313.37,317.29,331.75,321.20,325.44,306.02,297.12,322.13,341.45,349.07,,,,334.52,,,327.83,337.40,317.18,,,,,,,,,,,,,,,335.87,306.60,321.81,314.00,321.20,322.48,322.89,302.76,298.61,297.17,315.38,331.78,332.13,,335.32,333.99,323.99,335.56,339.09,350.60,338.39,351.61,350.24,342.87,,302.48,293.25,301.03,336.34,340.96,312.41,331.77,339.04,346.86,331.16,333.08,337.89,330.58,314.38,,312.24,316.24,346.24,346.90,337.29,336.14,336.24,321.56,311.14,,299.52,296.37,318.77,324.24,328.59,337.37,,343.23,332.08,327.13,321.97,329.39,333.40,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
