dates,sar1413-0000,satname
1984-09-20 09:30:04+00:00,143.19,L5
1988-03-07 09:29:48+00:00,168.66,L5
1991-02-28 09:21:00+00:00,173.16,L5
1992-02-15 09:24:02+00:00,185.45,L5
1992-10-12 09:21:28+00:00,167.24,L5
1994-03-08 09:20:40+00:00,167.76,L5
1995-02-23 09:10:59+00:00,174.66,L5
1996-02-17 09:11:43+00:00,176.35,L5
1996-11-15 09:26:56+00:00,198.71,L5
1997-03-16 09:26:11+00:00,174.97500000000002,L5
1997-10-01 09:39:00+00:00,157.76,L5
1998-03-03 09:36:21+00:00,169.175,L5
1998-03-19 09:36:37+00:00,155.31666666666666,L5
1999-08-21 09:52:49+00:00,144.57,L7
1999-09-22 09:52:53+00:00,142.19,L7
1999-09-30 09:36:28+00:00,147.56,L5
1999-10-08 09:52:59+00:00,157.8375,L7
2000-02-13 09:52:41+00:00,165.238,L7
2000-02-29 09:52:35+00:00,174.864,L7
2000-03-08 09:33:21+00:00,173.52333333333334,L5
2000-03-16 09:52:31+00:00,173.70000000000002,L7
2000-05-19 09:52:01+00:00,171.482,L7
2000-06-04 09:51:49+00:00,164.71166666666667,L7
2000-06-20 09:51:46+00:00,160.01999999999998,L7
2000-07-06 09:51:32+00:00,156.3425,L7
2000-08-07 09:51:02+00:00,152.0811111111111,L7
2000-09-16 09:38:11+00:00,129.35000000000002,L5
2000-09-24 09:50:24+00:00,131.4714285714286,L7
2001-03-11 09:40:03+00:00,144.41,L5
2001-03-19 09:50:10+00:00,142.33333333333334,L7
2001-04-04 09:50:00+00:00,138.71,L7
2001-06-07 09:49:35+00:00,136.47,L7
2001-06-23 09:49:22+00:00,134.164,L7
2001-07-09 09:49:19+00:00,133.25333333333333,L7
2001-07-25 09:49:12+00:00,132.6942857142857,L7
2001-08-10 09:48:54+00:00,132.3575,L7
2001-08-26 09:48:43+00:00,131.94111111111113,L7
2001-09-11 09:48:31+00:00,129.45111111111112,L7
2001-09-19 09:40:01+00:00,130.22555555555556,L5
2001-09-27 09:48:22+00:00,132.677,L7
2001-10-13 09:48:08+00:00,138.20200000000003,L7
2002-03-14 09:38:02+00:00,161.215,L5
2002-03-22 09:48:45+00:00,169.125,L7
2002-04-23 09:48:42+00:00,154.03333333333333,L7
2002-05-25 09:48:37+00:00,147.905,L7
2002-06-10 09:48:30+00:00,144.174,L7
2002-07-28 09:48:12+00:00,142.56,L7
2002-08-13 09:48:07+00:00,140.75285714285715,L7
2002-09-30 09:47:41+00:00,136.55,L7
2002-10-16 09:47:41+00:00,144.12428571428572,L7
2003-02-05 09:48:34+00:00,169.6975,L7
2003-03-25 09:48:35+00:00,171.8275,L7
2003-04-26 09:48:42+00:00,154.52666666666667,L7
2003-05-12 09:48:41+00:00,145.5475,L7
